CategoryID,CategoryName,Feature,MeanAbsSHAP,StdAbsSHAP,Rank
4,Uber Black,numeric__Price_Comfort,15.295189694823005,10.35495176104639,1
4,Uber Black,numeric__Price_UberX,13.688691681268091,10.658022288392747,2
4,Uber Black,numeric__DestinationLng,2.877020420541842,1.7798588910257156,3
4,Uber Black,numeric__DestinationLat,2.2026875158524692,1.1887675997298481,4
4,Uber Black,numeric__OriginLat,1.9518989144850043,1.4512793235397488,5
4,Uber Black,numeric__OriginLng,1.930006241404158,1.7755252656849687,6
4,Uber Black,numeric__UserPriorCategoryPriceMean,1.4634458430744655,1.7406110742264296,7
4,Uber Black,numeric__ScheduleHour,1.0041049192270532,0.7184272635042533,8
4,Uber Black,numeric__CreateHour,0.6413675469398324,0.4697671170399258,9
4,Uber Black,numeric__ScheduleMonth,0.5829805261305295,0.8042059360376637,10
4,Uber Black,numeric__ProductProviderID,0.33270351606930076,1.067445272785747,11
4,Uber Black,numeric__UserPriorCategoryRideCount,0.31549739139498184,0.5701462094114386,12
4,Uber Black,numeric__CompanyID,0.2303083938005029,0.36396755972641365,13
4,Uber Black,numeric__UserPriorPaidPriceMean,0.17890056101139237,0.23196083151992436,14
4,Uber Black,numeric__ScheduleDayOfWeek,0.15425437982826024,0.2387845679536439,15
4,Uber Black,numeric__WaitingTime,0.1383708573198306,0.2357767138599401,16
4,Uber Black,numeric__UserPriorRideCount,0.12353570133424914,0.24844623817457825,17
4,Uber Black,numeric__ScheduleQuarter,0.11581533638833273,0.20546104563623444,18
4,Uber Black,numeric__FareIDWasImputed,0.108024808337291,0.3417233187393465,19
4,Uber Black,numeric__CreateMonth,0.10778665142759469,0.1091318812396307,20
4,Uber Black,numeric__CreateDayOfWeek,0.057342334708875745,0.07555723848955555,21
4,Uber Black,numeric__TotalUsers,0.028030477743983852,0.16935017395236093,22
4,Uber Black,numeric__RideStatusID,0.011247077961117674,0.02558814072832093,23
4,Uber Black,numeric__ScheduleIsHolidayBR,0.008483355849229764,0.04969764502422008,24
4,Uber Black,numeric__Fee,0.006102825015073123,0.07289986121817008,25
4,Uber Black,categorical__ProductID_WPP-5-5,0.005703278571274153,0.021522438056607092,26
4,Uber Black,categorical__ProductID_Black,0.0052631111191386,0.020913920775869548,27
4,Uber Black,numeric__WaitingTimeWasCapped,0.0040774193736751755,0.04385381343997269,28
4,Uber Black,numeric__CreateQuarter,0.0020779430006261264,0.007028101321938433,29
4,Uber Black,numeric__CreateIsHolidayBR,0.0,0.0,30
