CategoryID,CategoryName,Feature,MeanAbsSHAP,StdAbsSHAP,Rank
2,UberX,numeric__Price_Comfort,11.219217562678795,11.029529632355905,1
2,UberX,numeric__Price_Black,3.8763885303653676,4.407038556292394,2
2,UberX,numeric__UserPriorCategoryPriceMean,1.6185071623404401,1.7072914912408022,3
2,UberX,numeric__ProductProviderID,1.3118465600931264,1.3533296828655244,4
2,UberX,numeric__DestinationLng,1.1581690416343438,1.226066558303356,5
2,UberX,numeric__OriginLat,0.8816151936872386,1.0037698836323894,6
2,UberX,numeric__OriginLng,0.833939221107998,0.8743911647134459,7
2,UberX,numeric__DestinationLat,0.7793218197975669,1.188461488696611,8
2,UberX,numeric__ScheduleHour,0.7621617336418971,0.5541499648564254,9
2,UberX,numeric__FareIDWasImputed,0.5990551793427447,0.28911316552999666,10
2,UberX,numeric__WaitingTime,0.35521823143257514,0.5399395955747066,11
2,UberX,numeric__CompanyID,0.34802444305695024,0.348985348998096,12
2,UberX,numeric__ScheduleMonth,0.31905766914307426,0.3783127413721154,13
2,UberX,numeric__UserPriorPaidPriceMean,0.299669654272484,0.4837198349219552,14
2,UberX,numeric__CreateHour,0.2842108713006165,0.24670050180321648,15
2,UberX,categorical__ProductID_UberX,0.22570002895674393,0.25070287535892555,16
2,UberX,numeric__RideStatusID,0.21525161398359752,0.4331373066853135,17
2,UberX,numeric__ScheduleDayOfWeek,0.19067597925955954,0.29593261989206465,18
2,UberX,numeric__UserPriorRideCount,0.182566198724019,0.3403442644444475,19
2,UberX,numeric__UserPriorCategoryRideCount,0.1262831210796816,0.23548269791604642,20
2,UberX,numeric__CreateMonth,0.12014335610644701,0.138932290660774,21
2,UberX,categorical__ProductID_pop99,0.11800715456994876,0.11875801799934825,22
2,UberX,categorical__ProductID_Uber Promo,0.09748281519774997,0.4027967854953171,23
2,UberX,numeric__ScheduleQuarter,0.08666137568839799,0.09585117517607118,24
2,UberX,numeric__CreateDayOfWeek,0.06887350754310409,0.11170947214266162,25
2,UberX,categorical__ProductID_WPP-42-1,0.05157731487941443,0.1559416929660684,26
2,UberX,numeric__WaitingTimeWasCapped,0.036477796327360035,0.16879608416806033,27
2,UberX,categorical__ProductID_Original,0.026960467088550735,0.1625189838784331,28
2,UberX,numeric__CreateQuarter,0.016937927425658385,0.023349442733689628,29
2,UberX,categorical__ProductID_UberX Promo,0.010928150072524371,0.08873436686939978,30
2,UberX,numeric__TotalUsers,0.0025369809449872598,0.010100226021949281,31
2,UberX,categorical__ProductID_poupa99,0.0011302371061349791,0.007812049360150561,32
2,UberX,numeric__ScheduleIsHolidayBR,0.00025161831767001074,0.0022257287452261444,33
2,UberX,numeric__CreateIsHolidayBR,0.00014984029002836855,0.0011429343094052674,34
2,UberX,numeric__Fee,0.0,0.0,35
