CategoryID,DatasetName,ModelName,FoldName,TrainRows,EvaluationRows,TrainStart,TrainEnd,EvaluationStart,EvaluationEnd,FeatureCount,MAE,RMSE,MAPE,R2
9,Uber Comfort,LightGBM,fold_1,14563,5536,2021-11-01,2022-01-11,2022-01-19,2022-02-15,31,3.557592438195637,6.162325442454391,8.144318472408305,0.9699946807238524
9,Uber Comfort,LightGBM,fold_2,18980,6580,2021-11-01,2022-02-08,2022-02-16,2022-03-15,31,3.9842408287084066,7.046486245773568,8.487641267538239,0.9612812058507456
9,Uber Comfort,LightGBM,fold_3,24772,10979,2021-11-01,2022-03-08,2022-03-16,2022-04-12,31,4.909277294468281,8.924839192465852,8.90741727915931,0.9411339834241297
9,Uber Comfort,LightGBM,fold_4,35107,11063,2021-11-01,2022-04-05,2022-04-13,2022-05-10,31,4.1484135196899965,7.735872897286559,7.799414582822338,0.9582502917750829
9,Uber Comfort,RandomForest,fold_1,14563,5536,2021-11-01,2022-01-11,2022-01-19,2022-02-15,31,3.629073789739884,6.624219165483377,7.839061548867393,0.9653280412533829
9,Uber Comfort,RandomForest,fold_2,18980,6580,2021-11-01,2022-02-08,2022-02-16,2022-03-15,31,4.1154100759878425,7.884549190638245,8.63866518227262,0.9515236022515801
9,Uber Comfort,RandomForest,fold_3,24772,10979,2021-11-01,2022-03-08,2022-03-16,2022-04-12,31,4.889549448947991,9.110033209262149,9.042546549213114,0.9386656497143105
9,Uber Comfort,RandomForest,fold_4,35107,11063,2021-11-01,2022-04-05,2022-04-13,2022-05-10,31,4.15652627677845,7.990774869906624,7.549363193235113,0.9554536029318844
9,Uber Comfort,XGBoost,fold_1,14563,5536,2021-11-01,2022-01-11,2022-01-19,2022-02-15,31,3.7271568590023607,6.4638278330806305,8.576521131749706,0.9669867293674159
9,Uber Comfort,XGBoost,fold_2,18980,6580,2021-11-01,2022-02-08,2022-02-16,2022-03-15,31,4.061468090196511,7.311036332032099,8.539109969199728,0.9583193492954081
9,Uber Comfort,XGBoost,fold_3,24772,10979,2021-11-01,2022-03-08,2022-03-16,2022-04-12,31,5.385839638703507,9.09690118732782,11.019360832903462,0.9388423479754527
9,Uber Comfort,XGBoost,fold_4,35107,11063,2021-11-01,2022-04-05,2022-04-13,2022-05-10,31,4.10825969352436,7.5268385469267995,7.849095736240643,0.9604760815666181
