weekday,avg_unique_rides,median_unique_rides,avg_estimative_rows,avg_mean_price,median_mean_price,observed_days
Monday,926.6744186046511,281.0,7585.186046511628,41.95473611041076,41.19709483610921,43
Tuesday,877.1363636363636,324.0,7514.113636363636,44.36515268492907,44.387719320105845,44
Wednesday,1038.953488372093,345.0,8771.581395348838,43.54355515411519,39.87516455511869,43
Thursday,1046.7209302325582,349.0,8902.767441860466,43.72701849999013,43.94096525096525,43
Friday,1035.6976744186047,280.0,8529.116279069767,44.80947170331479,45.12881742738589,43
Saturday,570.5348837209302,91.0,4603.860465116279,41.69067848862283,39.728062685760605,43
Sunday,48.30232558139535,52.0,430.25581395348837,50.69757930311681,50.82668202764977,43
