CategoryID,DatasetName,Algorithm,AlgorithmGroup,ModelVariant,RowType,FoldName,FoldsAveraged,TrainRows,EvaluationRows,TrainStart,TrainEnd,EvaluationStart,EvaluationEnd,FeatureCount,NumBoostRound,TrialNumber,MAE,RMSE,MAPE,R2,MAEStd,RMSEStd,MAPEStd,R2Std,SourceFile,GeneratedAt
2,UberX,Lasso,baseline,default,fold,fold_3,1,41871.0,12896.0,2021-11-01,2022-03-08,2022-03-16,2022-04-12,35,,,6.8828908409202185,12.894177860173537,19.59049924598132,0.7771674524857922,,,,,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.105540
2,UberX,Lasso,baseline,default,fold,fold_4,1,54095.0,15752.0,2021-11-01,2022-04-05,2022-04-13,2022-05-10,35,,,7.113238732960009,13.099798558084196,20.01537837985309,0.772381539134902,,,,,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.105540
2,UberX,Lasso,baseline,default,mean,mean,4,39318.5,11308.75,2021-11-01,2022-04-05,2022-01-19,2022-05-10,35,,,7.994234694380868,14.79994208179637,25.296827960288404,0.6733559931607978,1.3541711690190767,2.6758827283134945,6.455011150798393,0.12629136051920545,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.228884
2,UberX,LinearRegression,baseline,default,fold,fold_1,1,27535.0,7647.0,2021-11-01,2022-01-11,2022-01-19,2022-02-15,35,,,8.135379108223221,14.558706430051336,32.307588876033385,0.6291713394238756,,,,,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.105540
2,UberX,LinearRegression,baseline,default,fold,fold_2,1,33773.0,8940.0,2021-11-01,2022-02-08,2022-02-16,2022-03-15,35,,,9.913545556719228,18.750542112111784,29.577492281625943,0.5093178231109137,,,,,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.105540
2,UberX,LinearRegression,baseline,default,fold,fold_3,1,41871.0,12896.0,2021-11-01,2022-03-08,2022-03-16,2022-04-12,35,,,6.890625134912861,12.896514020589828,19.62412620762545,0.7770866998017292,,,,,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.105540
2,UberX,LinearRegression,baseline,default,fold,fold_4,1,54095.0,15752.0,2021-11-01,2022-04-05,2022-04-13,2022-05-10,35,,,7.121968377361764,13.110916861207745,20.05527609364628,0.7719949980751144,,,,,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.105540
2,UberX,LinearRegression,baseline,default,mean,mean,4,39318.5,11308.75,2021-11-01,2022-04-05,2022-01-19,2022-05-10,35,,,8.015379544304269,14.829169855990173,25.391120864732766,0.6718927151029082,1.3760680822172313,2.7164844172837714,6.508781303945211,0.12824709602843662,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.228884
2,UberX,Ridge,baseline,default,fold,fold_1,1,27535.0,7647.0,2021-11-01,2022-01-11,2022-01-19,2022-02-15,35,,,8.136640649666555,14.557690749761669,32.31504018620797,0.6292230789413995,,,,,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.105540
2,UberX,Ridge,baseline,default,fold,fold_2,1,33773.0,8940.0,2021-11-01,2022-02-08,2022-02-16,2022-03-15,35,,,9.906204424438636,18.734579364893843,29.5548602674775,0.5101529244599956,,,,,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.105540
2,UberX,Ridge,baseline,default,fold,fold_3,1,41871.0,12896.0,2021-11-01,2022-03-08,2022-03-16,2022-04-12,35,,,6.890169677258062,12.89673954253796,19.621949181180977,0.7770789035428023,,,,,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.105540
2,UberX,Ridge,baseline,default,fold,fold_4,1,54095.0,15752.0,2021-11-01,2022-04-05,2022-04-13,2022-05-10,35,,,7.12152997774404,13.109846738556673,20.053975863879383,0.7720322164271554,,,,,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.105540
2,UberX,Ridge,baseline,default,mean,mean,4,39318.5,11308.75,2021-11-01,2022-04-05,2022-01-19,2022-05-10,35,,,8.013636182276823,14.824714098937536,25.38645637468646,0.6721217808428381,1.3729500013113183,2.709009894208611,6.507579074403099,0.12789618421060328,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.228884
2,UberX,LightGBM_Tuned,tuned,optimized,fold,fold_1,1,27535.0,7647.0,2021-11-01,2022-01-11,2022-01-19,2022-02-15,35,350,12.0,5.7137126985900535,11.499044323229072,20.69945004864933,0.7686597444976265,,,,,selected_model_tuning_fold_metrics.csv,2026-05-29T20:53:51.155351
2,UberX,LightGBM_Tuned,tuned,optimized,fold,fold_2,1,33773.0,8940.0,2021-11-01,2022-02-08,2022-02-16,2022-03-15,35,350,12.0,6.552351900206056,13.149513669724168,17.869599732646783,0.7586807270803224,,,,,selected_model_tuning_fold_metrics.csv,2026-05-29T20:53:51.155351
2,UberX,LightGBM_Tuned,tuned,optimized,fold,fold_3,1,41871.0,12896.0,2021-11-01,2022-03-08,2022-03-16,2022-04-12,35,350,12.0,5.548596487203122,10.17354337017002,15.648209019362186,0.8612810496314782,,,,,selected_model_tuning_fold_metrics.csv,2026-05-29T20:53:51.155351
2,UberX,LightGBM_Tuned,tuned,optimized,fold,fold_4,1,54095.0,15752.0,2021-11-01,2022-04-05,2022-04-13,2022-05-10,35,350,12.0,5.890359969801088,10.905899867099452,16.177954584457517,0.842238415537291,,,,,selected_model_tuning_fold_metrics.csv,2026-05-29T20:53:51.155351
2,UberX,LightGBM_Tuned,tuned,optimized,mean,mean,4,39318.5,11308.75,2021-11-01,2022-04-05,2022-01-19,2022-05-10,35,350.0,12.0,5.92625526395008,11.432000307555677,17.598803346278956,0.8077149841866795,0.44010830629778724,1.2668652369750109,2.273834506434711,0.051610272868227065,selected_model_tuning_fold_metrics.csv,2026-05-29T20:53:51.228884
4,Uber Black,LightGBM,advanced,default,fold,fold_1,1,8052.0,2604.0,2021-11-01,2022-01-11,2022-01-19,2022-02-15,30,,,6.213695440071208,10.758756257081505,11.376192390038522,0.924192791066525,,,,,black_advanced_tscv_fold_metrics.csv,2026-05-29T20:53:51.134296
4,Uber Black,LightGBM,advanced,default,fold,fold_2,1,10093.0,3342.0,2021-11-01,2022-02-08,2022-02-16,2022-03-15,30,,,5.847502102647667,9.480941806028712,11.697584879498123,0.9336285868908628,,,,,black_advanced_tscv_fold_metrics.csv,2026-05-29T20:53:51.134296
4,Uber Black,LightGBM,advanced,default,fold,fold_3,1,12992.0,5873.0,2021-11-01,2022-03-08,2022-03-16,2022-04-12,30,,,6.8963328837493,11.449502605174375,11.51436540294417,0.9152062254409734,,,,,black_advanced_tscv_fold_metrics.csv,2026-05-29T20:53:51.134296
4,Uber Black,LightGBM,advanced,default,fold,fold_4,1,18541.0,6238.0,2021-11-01,2022-04-05,2022-04-13,2022-05-10,30,,,6.469935046960374,10.712081491342898,11.250526584344676,0.9341336085827532,,,,,black_advanced_tscv_fold_metrics.csv,2026-05-29T20:53:51.134296
4,Uber Black,LightGBM,advanced,default,mean,mean,4,12419.5,4514.25,2021-11-01,2022-04-05,2022-01-19,2022-05-10,30,,,6.356866368357137,10.600320539906873,11.459667314206373,0.9267903029952786,0.44111922696645434,0.8188836540423351,0.1917503208496527,0.008974485771560339,black_advanced_tscv_fold_metrics.csv,2026-05-29T20:53:51.228884
4,Uber Black,RandomForest,advanced,default,fold,fold_1,1,8052.0,2604.0,2021-11-01,2022-01-11,2022-01-19,2022-02-15,30,,,5.901314247311827,10.924417198992629,9.923089042904168,0.921840292647044,,,,,black_advanced_tscv_fold_metrics.csv,2026-05-29T20:53:51.134296
4,Uber Black,RandomForest,advanced,default,fold,fold_2,1,10093.0,3342.0,2021-11-01,2022-02-08,2022-02-16,2022-03-15,30,,,6.192457989228008,10.328522134809315,11.917036292506824,0.9212311560398002,,,,,black_advanced_tscv_fold_metrics.csv,2026-05-29T20:53:51.134296
4,Uber Black,RandomForest,advanced,default,fold,fold_3,1,12992.0,5873.0,2021-11-01,2022-03-08,2022-03-16,2022-04-12,30,,,7.094500374595606,11.981876692182352,11.858693934348954,0.9071374897362536,,,,,black_advanced_tscv_fold_metrics.csv,2026-05-29T20:53:51.134296
4,Uber Black,RandomForest,advanced,default,fold,fold_4,1,18541.0,6238.0,2021-11-01,2022-04-05,2022-04-13,2022-05-10,30,,,6.59416739339532,11.170840795633293,11.2277660812128,0.9283711696181076,,,,,black_advanced_tscv_fold_metrics.csv,2026-05-29T20:53:51.134296
4,Uber Black,RandomForest,advanced,default,mean,mean,4,12419.5,4514.25,2021-11-01,2022-04-05,2022-01-19,2022-05-10,30,,,6.445610001132691,11.101414205404398,11.231646337743186,0.9196450270103014,0.5175170928988806,0.6852552651193838,0.9265141353062961,0.008942763368361915,black_advanced_tscv_fold_metrics.csv,2026-05-29T20:53:51.228884
4,Uber Black,XGBoost,advanced,default,fold,fold_1,1,8052.0,2604.0,2021-11-01,2022-01-11,2022-01-19,2022-02-15,30,,,6.907631465843014,11.750186431918175,13.85342839639697,0.9095776302578784,,,,,black_advanced_tscv_fold_metrics.csv,2026-05-29T20:53:51.134296
4,Uber Black,XGBoost,advanced,default,fold,fold_2,1,10093.0,3342.0,2021-11-01,2022-02-08,2022-02-16,2022-03-15,30,,,6.358598390518726,10.135722831479296,12.989927159144116,0.9241444163266196,,,,,black_advanced_tscv_fold_metrics.csv,2026-05-29T20:53:51.134296
4,Uber Black,XGBoost,advanced,default,fold,fold_3,1,12992.0,5873.0,2021-11-01,2022-03-08,2022-03-16,2022-04-12,30,,,7.756458374126063,12.145895549847724,14.44750172489602,0.904577715078841,,,,,black_advanced_tscv_fold_metrics.csv,2026-05-29T20:53:51.134296
4,Uber Black,XGBoost,advanced,default,fold,fold_4,1,18541.0,6238.0,2021-11-01,2022-04-05,2022-04-13,2022-05-10,30,,,6.7387459631537965,11.280413541660264,11.576655355433708,0.9269590896555836,,,,,black_advanced_tscv_fold_metrics.csv,2026-05-29T20:53:51.134296
4,Uber Black,XGBoost,advanced,default,mean,mean,4,12419.5,4514.25,2021-11-01,2022-04-05,2022-01-19,2022-05-10,30,,,6.9403585484104,11.328054588726365,13.216878158967702,0.9163147128297306,0.5905315411588964,0.8700543698393916,1.2465242566623975,0.01092020165632324,black_advanced_tscv_fold_metrics.csv,2026-05-29T20:53:51.228884
4,Uber Black,Lasso,baseline,default,fold,fold_1,1,8052.0,2604.0,2021-11-01,2022-01-11,2022-01-19,2022-02-15,30,,,9.902986243000797,14.734845564842974,25.23389154800969,0.8578072194688074,,,,,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.105540
4,Uber Black,Lasso,baseline,default,fold,fold_2,1,10093.0,3342.0,2021-11-01,2022-02-08,2022-02-16,2022-03-15,30,,,9.28576474383196,13.5201256410125,22.06154537260825,0.8650292822322465,,,,,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.105540
4,Uber Black,Lasso,baseline,default,fold,fold_3,1,12992.0,5873.0,2021-11-01,2022-03-08,2022-03-16,2022-04-12,30,,,10.15701094824265,15.081315405431578,20.587955039668405,0.8528808615069193,,,,,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.105540
4,Uber Black,Lasso,baseline,default,fold,fold_4,1,18541.0,6238.0,2021-11-01,2022-04-05,2022-04-13,2022-05-10,30,,,10.309211830028666,15.317052849233342,20.17774990809477,0.8653313344807151,,,,,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.105540
4,Uber Black,Lasso,baseline,default,mean,mean,4,12419.5,4514.25,2021-11-01,2022-04-05,2022-01-19,2022-05-10,30,,,9.913743441276019,14.663334865130098,22.01528546709528,0.8602621744221721,0.45094245316767523,0.7987690623894811,2.2931328034377785,0.006025841151461124,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.228884
4,Uber Black,LinearRegression,baseline,default,fold,fold_1,1,8052.0,2604.0,2021-11-01,2022-01-11,2022-01-19,2022-02-15,30,,,9.904968743167029,14.75431057409187,25.22559216951012,0.8574312926328859,,,,,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.105540
4,Uber Black,LinearRegression,baseline,default,fold,fold_2,1,10093.0,3342.0,2021-11-01,2022-02-08,2022-02-16,2022-03-15,30,,,9.269368585995014,13.52422969698956,21.907428296410718,0.8649473286367743,,,,,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.105540
4,Uber Black,LinearRegression,baseline,default,fold,fold_3,1,12992.0,5873.0,2021-11-01,2022-03-08,2022-03-16,2022-04-12,30,,,10.161935189605003,15.08976447970037,20.588076959225784,0.8527159728767701,,,,,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.105540
4,Uber Black,LinearRegression,baseline,default,fold,fold_4,1,18541.0,6238.0,2021-11-01,2022-04-05,2022-04-13,2022-05-10,30,,,10.312603284967524,15.319965906103771,20.20803456263453,0.8652801059853228,,,,,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.105540
4,Uber Black,LinearRegression,baseline,default,mean,mean,4,12419.5,4514.25,2021-11-01,2022-04-05,2022-01-19,2022-05-10,30,,,9.912218950933642,14.672067664221393,21.982282996945287,0.8600936750329382,0.4604255176863805,0.7996954955353168,2.281551051171328,0.0061094404675365215,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.228884
4,Uber Black,Ridge,baseline,default,fold,fold_1,1,8052.0,2604.0,2021-11-01,2022-01-11,2022-01-19,2022-02-15,30,,,9.910428066840357,14.688665235889337,25.35733955211541,0.8586971126591947,,,,,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.105540
4,Uber Black,Ridge,baseline,default,fold,fold_2,1,10093.0,3342.0,2021-11-01,2022-02-08,2022-02-16,2022-03-15,30,,,9.269075290523416,13.480131815633742,22.0996398185482,0.8658266137907578,,,,,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.105540
4,Uber Black,Ridge,baseline,default,fold,fold_3,1,12992.0,5873.0,2021-11-01,2022-03-08,2022-03-16,2022-04-12,30,,,10.158319586722012,15.082538582835742,20.595681667849128,0.8528569962009209,,,,,baseline_tscv_fold_metrics.csv,2026-05-29T20:53:51.105540
