CategoryID,DatasetName,ModelName,TrialNumber,TrialState,MeanRMSE,MeanMAE,MeanMAPE,MeanR2,StdRMSE,StdMAE,NumBoostRound,ParamsJSON,IsBestTrial
2,UberX,LightGBM,12,COMPLETE,11.432000307555677,5.926255263950075,17.59880334627895,0.8077149841866795,1.266865236975012,0.44010830629779135,350,"{""bagging_fraction"": 0.85, ""bagging_freq"": 5, ""deterministic"": true, ""feature_fraction"": 0.6, ""force_col_wise"": true, ""lambda_l1"": 1.06306407977467e-08, ""lambda_l2"": 9.868745464853728, ""learning_rate"": 0.02714108732037047, ""max_depth"": -1, ""metric"": ""l2"", ""min_data_in_leaf"": 70, ""min_gain_to_split"": 0.004536471339817827, ""num_boost_round"": 350, ""num_leaves"": 99, ""num_threads"": -1, ""objective"": ""regression"", ""seed"": 42, ""verbosity"": -1}",True
2,UberX,LightGBM,10,COMPLETE,11.50121319230742,5.931178711896235,17.700748542873505,0.8056594441746827,1.248707019376155,0.4399866553005169,300,"{""bagging_fraction"": 0.85, ""bagging_freq"": 5, ""deterministic"": true, ""feature_fraction"": 0.6, ""force_col_wise"": true, ""lambda_l1"": 1.3796390885710078e-08, ""lambda_l2"": 3.338397703753265, ""learning_rate"": 0.02096895585945003, ""max_depth"": -1, ""metric"": ""l2"", ""min_data_in_leaf"": 70, ""min_gain_to_split"": 0.012311169564937496, ""num_boost_round"": 300, ""num_leaves"": 121, ""num_threads"": -1, ""objective"": ""regression"", ""seed"": 42, ""verbosity"": -1}",False
2,UberX,LightGBM,11,COMPLETE,11.516791529468097,5.939459704072078,17.708549245914966,0.8051430916945523,1.2199189995765203,0.42285267357237305,300,"{""bagging_fraction"": 0.85, ""bagging_freq"": 5, ""deterministic"": true, ""feature_fraction"": 0.6, ""force_col_wise"": true, ""lambda_l1"": 1.1983997827944372e-08, ""lambda_l2"": 4.8078021622742115, ""learning_rate"": 0.020404941634045298, ""max_depth"": -1, ""metric"": ""l2"", ""min_data_in_leaf"": 70, ""min_gain_to_split"": 0.07207887002123212, ""num_boost_round"": 300, ""num_leaves"": 123, ""num_threads"": -1, ""objective"": ""regression"", ""seed"": 42, ""verbosity"": -1}",False
2,UberX,LightGBM,2,COMPLETE,11.537211534817207,5.91513768934949,17.331654281095904,0.8035432506640255,1.4928040938381264,0.5408919296392596,250,"{""bagging_fraction"": 0.6, ""bagging_freq"": 10, ""deterministic"": true, ""feature_fraction"": 0.8, ""force_col_wise"": true, ""lambda_l1"": 2.133142332373004e-06, ""lambda_l2"": 0.009176996354542699, ""learning_rate"": 0.023231731978492907, ""max_depth"": -1, ""metric"": ""l2"", ""min_data_in_leaf"": 40, ""min_gain_to_split"": 0.31171107608941095, ""num_boost_round"": 250, ""num_leaves"": 123, ""num_threads"": -1, ""objective"": ""regression"", ""seed"": 42, ""verbosity"": -1}",False
2,UberX,LightGBM,14,COMPLETE,11.593881524618416,6.415186395422266,19.995518565479507,0.8021697251460429,1.2561487372712443,0.43590640688193705,400,"{""bagging_fraction"": 0.85, ""bagging_freq"": 6, ""deterministic"": true, ""feature_fraction"": 0.6, ""force_col_wise"": true, ""lambda_l1"": 1.258575710559762e-07, ""lambda_l2"": 0.27410262472733704, ""learning_rate"": 0.10138111848667773, ""max_depth"": -1, ""metric"": ""l2"", ""min_data_in_leaf"": 80, ""min_gain_to_split"": 0.039180326742309236, ""num_boost_round"": 400, ""num_leaves"": 101, ""num_threads"": -1, ""objective"": ""regression"", ""seed"": 42, ""verbosity"": -1}",False
2,UberX,LightGBM,4,COMPLETE,11.662500601248832,5.899012264901565,17.312035180334213,0.7997077178784346,1.4194785679406412,0.5706524841096506,100,"{""bagging_fraction"": 0.9, ""bagging_freq"": 8, ""deterministic"": true, ""feature_fraction"": 0.95, ""force_col_wise"": true, ""lambda_l1"": 0.08738424135626986, ""lambda_l2"": 4.638759594322625e-08, ""learning_rate"": 0.03819130560209075, ""max_depth"": 8, ""metric"": ""l2"", ""min_data_in_leaf"": 20, ""min_gain_to_split"": 0.3584657285442726, ""num_boost_round"": 100, ""num_leaves"": 77, ""num_threads"": -1, ""objective"": ""regression"", ""seed"": 42, ""verbosity"": -1}",False
2,UberX,LightGBM,7,COMPLETE,11.72492259968128,6.659504012693516,21.041999149504342,0.7967737592428583,1.725106450277129,0.7050442154315847,400,"{""bagging_fraction"": 0.7, ""bagging_freq"": 1, ""deterministic"": true, ""feature_fraction"": 1.0, ""force_col_wise"": true, ""lambda_l1"": 1.1256839212661599e-06, ""lambda_l2"": 6.98184330520185e-05, ""learning_rate"": 0.17010913962119048, ""max_depth"": 10, ""metric"": ""l2"", ""min_data_in_leaf"": 170, ""min_gain_to_split"": 0.8180147659224931, ""num_boost_round"": 400, ""num_leaves"": 107, ""num_threads"": -1, ""objective"": ""regression"", ""seed"": 42, ""verbosity"": -1}",False
2,UberX,LightGBM,0,COMPLETE,11.794635305405755,6.044172135402045,17.5780261831449,0.794898437872133,1.3752940628393853,0.5069747295980613,150,"{""bagging_fraction"": 0.6, ""bagging_freq"": 10, ""deterministic"": true, ""feature_fraction"": 0.9, ""force_col_wise"": true, ""lambda_l1"": 0.31044435499483225, ""lambda_l2"": 8.148018307012941e-07, ""learning_rate"": 0.047377279007281566, ""max_depth"": 12, ""metric"": ""l2"", ""min_data_in_leaf"": 130, ""min_gain_to_split"": 0.18182496720710062, ""num_boost_round"": 150, ""num_leaves"": 123, ""num_threads"": -1, ""objective"": ""regression"", ""seed"": 42, ""verbosity"": -1}",False
2,UberX,LightGBM,5,COMPLETE,11.798602173777537,6.5448441127561985,20.416475800760622,0.7947030712320059,1.4244769370730153,0.5400943322363909,250,"{""bagging_fraction"": 0.65, ""bagging_freq"": 7, ""deterministic"": true, ""feature_fraction"": 0.8, ""force_col_wise"": true, ""lambda_l1"": 0.0703178263660987, ""lambda_l2"": 0.0011258869313624915, ""learning_rate"": 0.1459262497942231, ""max_depth"": 10, ""metric"": ""l2"", ""min_data_in_leaf"": 180, ""min_gain_to_split"": 0.770967179954561, ""num_boost_round"": 250, ""num_leaves"": 86, ""num_threads"": -1, ""objective"": ""regression"", ""seed"": 42, ""verbosity"": -1}",False
2,UberX,LightGBM,8,COMPLETE,11.827915977026123,5.9010718754867515,16.9306772640393,0.7939993707599213,1.3359426484776493,0.4906924126104292,200,"{""bagging_fraction"": 0.75, ""bagging_freq"": 10, ""deterministic"": true, ""feature_fraction"": 0.9, ""force_col_wise"": true, ""lambda_l1"": 4.592251392089998, ""lambda_l2"": 1.845188173664121e-06, ""learning_rate"": 0.02032273369060574, ""max_depth"": 10, ""metric"": ""l2"", ""min_data_in_leaf"": 110, ""min_gain_to_split"": 0.49724850589238545, ""num_boost_round"": 200, ""num_leaves"": 73, ""num_threads"": -1, ""objective"": ""regression"", ""seed"": 42, ""verbosity"": -1}",False
