CategoryID,DatasetName,ModelName,BestTrialNumber,TrialsExecuted,BestNumBoostRound,BestParamsJSON,DefaultMeanRMSE,TunedMeanRMSE,DeltaRMSE,DefaultMeanMAE,TunedMeanMAE,DeltaMAE,DefaultMeanMAPE,TunedMeanMAPE,DeltaMAPE,DefaultMeanR2,TunedMeanR2,DeltaR2
2,UberX,LightGBM,12,15,350,"{""bagging_fraction"": 0.85, ""bagging_freq"": 5, ""deterministic"": true, ""feature_fraction"": 0.6, ""force_col_wise"": true, ""lambda_l1"": 1.06306407977467e-08, ""lambda_l2"": 9.868745464853728, ""learning_rate"": 0.02714108732037047, ""max_depth"": -1, ""metric"": ""l2"", ""min_data_in_leaf"": 70, ""min_gain_to_split"": 0.004536471339817827, ""num_boost_round"": 350, ""num_leaves"": 99, ""num_threads"": -1, ""objective"": ""regression"", ""seed"": 42, ""verbosity"": -1}",11.876981184015357,11.432000307555677,-0.4449808764596792,6.30404979649564,5.926255263950075,-0.3777945325455647,18.732910936525883,17.59880334627895,-1.1341075902469342,0.7905542125059539,0.8077149841866795,0.017160771680725606
4,Uber Black,LightGBM,11,15,350,"{""bagging_fraction"": 1.0, ""bagging_freq"": 0, ""deterministic"": true, ""feature_fraction"": 0.7, ""force_col_wise"": true, ""lambda_l1"": 0.00021535541293642255, ""lambda_l2"": 0.13241042802392494, ""learning_rate"": 0.08255949675641235, ""max_depth"": 4, ""metric"": ""l2"", ""min_data_in_leaf"": 60, ""min_gain_to_split"": 0.09736015645089524, ""num_boost_round"": 350, ""num_leaves"": 18, ""num_threads"": -1, ""objective"": ""regression"", ""seed"": 42, ""verbosity"": -1}",10.600320539906873,10.284137707880458,-0.3161828320264153,6.356866368357137,6.349645432934903,-0.0072209354222341204,11.459667314206374,11.863938031485507,0.40427071727913244,0.9267903029952786,0.9310185390407641,0.004228236045485501
9,Uber Comfort,LightGBM,12,15,300,"{""bagging_fraction"": 0.9, ""bagging_freq"": 0, ""deterministic"": true, ""feature_fraction"": 0.6, ""force_col_wise"": true, ""lambda_l1"": 9.265701961309923e-05, ""lambda_l2"": 9.868745464853728, ""learning_rate"": 0.10439338960876268, ""max_depth"": -1, ""metric"": ""l2"", ""min_data_in_leaf"": 70, ""min_gain_to_split"": 0.9845823199357809, ""num_boost_round"": 300, ""num_leaves"": 44, ""num_threads"": -1, ""objective"": ""regression"", ""seed"": 42, ""verbosity"": -1}",7.467380944495093,7.42262274912755,-0.04475819536754333,4.14988102026558,4.1967959699589805,0.04691494969340049,8.334697900482048,8.692472221122488,0.35777432064043957,0.9576650404434526,0.9583227563601782,0.0006577159167255875
