CategoryID,DatasetName,BestTrialNumber,TrialsExecuted,DefaultMeanRMSE,TunedMeanRMSE,DeltaRMSE,DefaultMeanMAE,TunedMeanMAE,DeltaMAE,DefaultMeanMAPE,TunedMeanMAPE,DeltaMAPE,DefaultMeanR2,TunedMeanR2,DeltaR2
2,UberX,12,15,11.876981184015357,11.432000307555677,-0.4449808764596792,6.304049796495641,5.926255263950081,-0.3777945325455603,18.732910936525887,17.598803346278956,-1.1341075902469306,0.7905542125059539,0.8077149841866795,0.017160771680725606
4,Uber Black,13,15,10.600320539906873,10.336397582967033,-0.26392295693984025,6.356866368357137,6.40856145695176,0.051695088594622796,11.459667314206374,12.07893172540404,0.6192644111976655,0.9267903029952786,0.9303951885774585,0.003604885582179862
9,Uber Comfort,12,15,7.467380944495093,7.422622749126488,-0.04475819536860559,4.14988102026558,4.196795969959453,0.046914949693873,8.334697900482048,8.692472221125822,0.3577743206437738,0.9576650404434526,0.9583227563601895,0.0006577159167369118
