CategoryID,DatasetName,ModelName,FoldName,TrainRows,EvaluationRows,TrainStart,TrainEnd,EvaluationStart,EvaluationEnd,FeatureCount,MAE,RMSE,MAPE,R2
4,Uber Black,LightGBM,fold_1,8052,2604,2021-11-01,2022-01-11,2022-01-19,2022-02-15,30,6.213695440071208,10.758756257081505,11.376192390038522,0.924192791066525
4,Uber Black,LightGBM,fold_2,10093,3342,2021-11-01,2022-02-08,2022-02-16,2022-03-15,30,5.847502102647667,9.480941806028712,11.697584879498125,0.9336285868908628
4,Uber Black,LightGBM,fold_3,12992,5873,2021-11-01,2022-03-08,2022-03-16,2022-04-12,30,6.8963328837493,11.449502605174377,11.51436540294417,0.9152062254409734
4,Uber Black,LightGBM,fold_4,18541,6238,2021-11-01,2022-04-05,2022-04-13,2022-05-10,30,6.469935046960374,10.712081491342898,11.250526584344676,0.9341336085827532
4,Uber Black,RandomForest,fold_1,8052,2604,2021-11-01,2022-01-11,2022-01-19,2022-02-15,30,5.901314247311827,10.924417198992627,9.923089042904168,0.9218402926470439
4,Uber Black,RandomForest,fold_2,10093,3342,2021-11-01,2022-02-08,2022-02-16,2022-03-15,30,6.192457989228008,10.328522134809315,11.917036292506825,0.9212311560398002
4,Uber Black,RandomForest,fold_3,12992,5873,2021-11-01,2022-03-08,2022-03-16,2022-04-12,30,7.094500374595606,11.981876692182352,11.858693934348954,0.9071374897362537
4,Uber Black,RandomForest,fold_4,18541,6238,2021-11-01,2022-04-05,2022-04-13,2022-05-10,30,6.59416739339532,11.170840795633293,11.2277660812128,0.9283711696181076
4,Uber Black,XGBoost,fold_1,8052,2604,2021-11-01,2022-01-11,2022-01-19,2022-02-15,30,6.907631465843014,11.750186431918175,13.85342839639697,0.9095776302578784
4,Uber Black,XGBoost,fold_2,10093,3342,2021-11-01,2022-02-08,2022-02-16,2022-03-15,30,6.358598390518726,10.135722831479296,12.989927159144116,0.9241444163266195
4,Uber Black,XGBoost,fold_3,12992,5873,2021-11-01,2022-03-08,2022-03-16,2022-04-12,30,7.756458374126063,12.145895549847724,14.44750172489602,0.904577715078841
4,Uber Black,XGBoost,fold_4,18541,6238,2021-11-01,2022-04-05,2022-04-13,2022-05-10,30,6.7387459631537965,11.280413541660263,11.576655355433708,0.9269590896555837
