CategoryID,DatasetName,ModelName,Folds,MeanMAE,StdMAE,MeanRMSE,StdRMSE,MeanMAPE,StdMAPE,MeanR2,StdR2,MeanFeatureCount,AlgorithmGroup,SourceFile,CategoryName,RMSECategoryRank
2,UberX,LightGBM,4,6.30404979649564,0.7497449115287081,11.876981184015357,1.99442302679474,18.732910936525883,2.40122139965339,0.7905542125059539,0.0753262125525624,35.0,advanced,uberx_advanced_tscv_summary.csv,UberX,1
2,UberX,RandomForest,4,6.3301398355414245,0.5922067882800152,12.084426366671217,1.5896605492492617,18.817428631202752,3.585301139215724,0.7833466050300077,0.0691788610879686,35.0,advanced,uberx_advanced_tscv_summary.csv,UberX,2
2,UberX,Lasso,4,7.994234694380943,1.3541711690192069,14.79994208179654,2.6758827283138147,25.296827960288667,6.455011150798607,0.6733559931607889,0.1262913605192201,35.0,baseline,baseline_tscv_summary.csv,UberX,3
2,UberX,Ridge,4,8.013636182276823,1.3729500013113145,14.824714098937534,2.709009894208599,25.386456374686464,6.507579074403084,0.6721217808428384,0.1278961842106026,35.0,baseline,baseline_tscv_summary.csv,UberX,4
2,UberX,LinearRegression,4,8.015379544304272,1.3760680822172284,14.829169855990187,2.7164844172837865,25.39112086473273,6.508781303945198,0.6718927151029075,0.1282470960284374,35.0,baseline,baseline_tscv_summary.csv,UberX,5
2,UberX,XGBoost,4,9.702917838552947,4.332660409015284,17.265093925091776,7.153122055090173,36.55312889813154,23.88473508497239,0.5300158877748498,0.366740873465902,35.0,advanced,uberx_advanced_tscv_summary.csv,UberX,6
4,Uber Black,LightGBM,4,6.356866368357137,0.4411192269664543,10.600320539906871,0.818883654042336,11.459667314206374,0.191750320849653,0.9267903029952786,0.0089744857715603,30.0,advanced,black_advanced_tscv_summary.csv,Uber Black,1
4,Uber Black,RandomForest,4,6.445610001132691,0.5175170928988806,11.101414205404396,0.6852552651193845,11.231646337743188,0.9265141353062962,0.9196450270103014,0.0089427633683618,30.0,advanced,black_advanced_tscv_summary.csv,Uber Black,2
4,Uber Black,XGBoost,4,6.9403585484104,0.5905315411588964,11.328054588726364,0.8700543698393917,13.216878158967702,1.2465242566623975,0.9163147128297306,0.0109202016563232,30.0,advanced,black_advanced_tscv_summary.csv,Uber Black,3
4,Uber Black,Ridge,4,9.913328806119123,0.460733816595605,14.642894583031476,0.8177610737066097,22.05716896568661,2.3500082055545266,0.8606639901302178,0.0061300910807828,30.0,baseline,baseline_tscv_summary.csv,Uber Black,4
4,Uber Black,Lasso,4,9.913743441276033,0.4509424531676765,14.663334865130103,0.798769062389469,22.01528546709537,2.293132803437923,0.860262174422172,0.0060258411514611,30.0,baseline,baseline_tscv_summary.csv,Uber Black,5
4,Uber Black,LinearRegression,4,9.912218950933651,0.460425517686362,14.672067664221403,0.7996954955353085,21.982282996945337,2.281551051171329,0.860093675032938,0.0061094404675366,30.0,baseline,baseline_tscv_summary.csv,Uber Black,6
9,Uber Comfort,LightGBM,4,4.14988102026558,0.564188884547366,7.467380944495092,1.1657036049971932,8.334697900482048,0.4740505307234047,0.9576650404434528,0.0120929049032099,31.0,advanced,comfort_advanced_tscv_summary.csv,Uber Comfort,1
9,Uber Comfort,XGBoost,4,4.3206810703566845,0.7301022703715973,7.599650974841837,1.0985524520708594,8.996021917523384,1.3897349231165026,0.9561561270512238,0.0121162484555372,31.0,advanced,comfort_advanced_tscv_summary.csv,Uber Comfort,2
9,Uber Comfort,RandomForest,4,4.197639897863542,0.5197622275724433,7.902394108822599,1.016571522770773,8.26740911839706,0.6922766047807133,0.9527427240377896,0.01103614294389,31.0,advanced,comfort_advanced_tscv_summary.csv,Uber Comfort,3
9,Uber Comfort,LinearRegression,4,5.605197301106509,0.3197690850356082,9.203399776233146,0.9272023050593378,12.889642237531746,1.943278905011509,0.936362712857822,0.0094198499439044,31.0,baseline,baseline_tscv_summary.csv,Uber Comfort,4
9,Uber Comfort,Ridge,4,5.603155912205635,0.3247532530037262,9.20665692763305,0.9315567880294116,12.880558520323769,1.9419751307280253,0.9363030443048096,0.0096135581774781,31.0,baseline,baseline_tscv_summary.csv,Uber Comfort,5
9,Uber Comfort,Lasso,4,5.596145714748351,0.3296572612473425,9.207830660473096,0.9443348614893372,12.848342037712277,1.9255905364109904,0.9362630648006136,0.0099732383776127,31.0,baseline,baseline_tscv_summary.csv,Uber Comfort,6
